2013-01-10 23:14:24 status unpacked xkb-data:all 2.5-1ubuntu7
2013-01-10 23:14:24 status unpacked xkb-data:all 2.5-1ubuntu7
2013-01-10 23:14:25 install console-setup:all <none> 1.70ubuntu6
2013-01-10 23:14:25 status half-installed console-setup:all 1.70ubuntu6
2013-01-10 23:14:25 status triggers-pending ureadahead:armhf 0.100.0-12build1
2013-01-10 23:14:25 status half-installed console-setup:all 1.70ubuntu6
2013-01-10 23:14:25 status triggers-pending ureadahead:armhf 0.100.0-12build1
2013-01-10 23:14:25 status unpacked console-setup:all 1.70ubuntu6
2013-01-10 23:14:25 status unpacked console-setup:all 1.70ubuntu6
2013-01-10 23:14:25 install kbd:armhf <none> 1.15.3-9ubuntu1
2013-01-10 23:14:25 status half-installed kbd:armhf 1.15.3-9ubuntu1
2013-01-10 23:14:26 status unpacked kbd:armhf 1.15.3-9ubuntu1
2013-01-10 23:14:26 status unpacked kbd:armhf 1.15.3-9ubuntu1
2013-01-10 23:14:26 install ntpdate:armhf <none> 1:4.2.6.p3+dfsg-1ubuntu5
2013-01-10 23:14:26 status half-installed ntpdate:armhf 1:4.2.6.p3+dfsg-1ubuntu5
2013-01-10 23:14:26 status unpacked ntpdate:armhf 1:4.2.6.p3+dfsg-1ubuntu5
2013-01-10 23:14:26 status unpacked ntpdate:armhf 1:4.2.6.p3+dfsg-1ubuntu5
2013-01-10 23:14:27 install libroken18-heimdal:armhf <none> 1.6~git20120403+dfsg1-2
2013-01-10 23:14:27 status half-installed libroken18-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:27 status unpacked libroken18-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:27 status unpacked libroken18-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:27 install libasn1-8-heimdal:armhf <none> 1.6~git20120403+dfsg1-2
2013-01-10 23:14:27 status half-installed libasn1-8-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:27 status unpacked libasn1-8-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:27 status unpacked libasn1-8-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:27 install libgcrypt11:armhf <none> 1.5.0-3ubuntu1
2013-01-10 23:14:27 status half-installed libgcrypt11:armhf 1.5.0-3ubuntu1
2013-01-10 23:14:27 status unpacked libgcrypt11:armhf 1.5.0-3ubuntu1
2013-01-10 23:14:27 status unpacked libgcrypt11:armhf 1.5.0-3ubuntu1
2013-01-10 23:14:28 install libp11-kit0:armhf <none> 0.13-1
2013-01-10 23:14:28 status half-installed libp11-kit0:armhf 0.13-1
2013-01-10 23:14:28 status unpacked libp11-kit0:armhf 0.13-1
2013-01-10 23:14:28 status unpacked libp11-kit0:armhf 0.13-1
2013-01-10 23:14:28 install libtasn1-3:armhf <none> 2.13-2
2013-01-10 23:14:28 status half-installed libtasn1-3:armhf 2.13-2
2013-01-10 23:14:28 status unpacked libtasn1-3:armhf 2.13-2
2013-01-10 23:14:28 status unpacked libtasn1-3:armhf 2.13-2
2013-01-10 23:14:28 install libgnutls26:armhf <none> 2.12.14-5ubuntu4
2013-01-10 23:14:28 status half-installed libgnutls26:armhf 2.12.14-5ubuntu4
2013-01-10 23:14:29 status unpacked libgnutls26:armhf 2.12.14-5ubuntu4
2013-01-10 23:14:29 status unpacked libgnutls26:armhf 2.12.14-5ubuntu4
2013-01-10 23:14:29 install libhcrypto4-heimdal:armhf <none> 1.6~git20120403+dfsg1-2
2013-01-10 23:14:29 status half-installed libhcrypto4-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:29 status unpacked libhcrypto4-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:29 status unpacked libhcrypto4-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:29 install libheimbase1-heimdal:armhf <none> 1.6~git20120403+dfsg1-2
2013-01-10 23:14:29 status half-installed libheimbase1-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:29 status unpacked libheimbase1-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:29 status unpacked libheimbase1-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:29 install libwind0-heimdal:armhf <none> 1.6~git20120403+dfsg1-2
2013-01-10 23:14:29 status half-installed libwind0-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:30 status unpacked libwind0-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:30 status unpacked libwind0-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:30 install libhx509-5-heimdal:armhf <none> 1.6~git20120403+dfsg1-2
2013-01-10 23:14:30 status half-installed libhx509-5-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:30 status unpacked libhx509-5-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:30 status unpacked libhx509-5-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:32 install libkrb5-26-heimdal:armhf <none> 1.6~git20120403+dfsg1-2
2013-01-10 23:14:32 status half-installed libkrb5-26-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:40 status unpacked libkrb5-26-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:40 status unpacked libkrb5-26-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:40 install libheimntlm0-heimdal:armhf <none> 1.6~git20120403+dfsg1-2
2013-01-10 23:14:40 status half-installed libheimntlm0-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:40 status unpacked libheimntlm0-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:40 status unpacked libheimntlm0-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:40 install libgssapi3-heimdal:armhf <none> 1.6~git20120403+dfsg1-2
2013-01-10 23:14:40 status half-installed libgssapi3-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:41 status unpacked libgssapi3-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:41 status unpacked libgssapi3-heimdal:armhf 1.6~git20120403+dfsg1-2
2013-01-10 23:14:41 install libsasl2-2:armhf <none> 2.1.25.dfsg1-5
